uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
3997,Justin Che,Bronze Non-rare,N/A,259159,63,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,2,72,72,69,65,70,58,65,62,61,56,61,51,51,60,59,61,27,24,58,54,61,59,29,54,61,58,28,50,25,10,10,10,10,10
3998,Darlington Nagbe,Gold Non-rare,N/A,202078,75,14,-1,-1,-1,1048576,0,0,0,20,15,0,0,0,2,2,72,72,85,81,73,83,73,80,59,81,63,60,69,80,49,79,60,68,57,77,85,67,74,77,63,61,79,72,61,10,10,10,10,10
3999,Jack Butland,Gold Rare,N/A,203042,75,0,-1,-1,-1,0,34,0,0,2,0,0,0,0,0,4,53,50,49,48,71,29,75,69,39,60,20,13,53,36,11,21,16,14,12,53,50,15,54,53,13,11,12,12,43,76,74,72,76,75
4000,Boubakary Soumaré,Gold Non-rare,N/A,239817,75,10,-1,-1,-1,0,0,0,0,16,20,0,0,0,2,3,69,77,59,68,77,72,79,73,77,78,71,66,75,78,65,77,51,53,63,77,78,70,64,77,73,71,53,69,52,10,10,10,10,10
4001,Tom Krauß,Gold Non-rare,N/A,251392,75,10,-1,-1,-1,67403776,0,0,0,49,18,0,0,0,1,3,74,69,69,68,78,81,75,73,86,67,73,69,68,74,51,72,59,47,64,70,75,71,73,70,77,74,62,50,69,10,10,10,10,10
4002,Hans Nicolussi Caviglia,Gold Non-rare,N/A,253162,75,10,-1,-1,-1,67117065,0,0,0,17,18,0,0,0,2,3,69,63,65,67,69,81,67,68,63,73,70,65,79,80,65,76,62,80,59,79,83,71,76,79,71,67,76,75,60,10,10,10,10,10
4003,Eren Elmalı,Gold Rare,N/A,259754,75,7,-1,-1,-1,2179072,0,0,0,9,0,0,0,0,1,2,80,85,79,71,81,86,76,70,69,72,69,70,70,67,75,74,48,47,62,72,74,71,63,72,70,68,39,74,49,10,10,10,10,10
4004,Annabel Schasching,Gold Non-rare,N/A,273563,75,10,-1,-1,-1,0,0,0,0,17,22,33,0,0,1,3,76,76,71,37,72,77,64,73,65,68,69,72,73,78,70,73,70,69,58,79,80,72,57,79,74,66,40,51,71,10,10,10,10,10
4005,Anthony Moris,Gold Non-rare,N/A,184167,75,0,-1,-1,-1,1024,3,0,0,2,0,0,0,0,0,3,46,48,46,49,68,31,69,69,24,36,17,16,65,34,20,16,11,14,19,62,46,21,61,62,14,19,12,16,27,74,71,81,75,76
4006,Salih Özcan,Gold Non-rare,N/A,235407,75,10,-1,-1,-1,268435456,0,0,0,15,18,0,0,0,1,3,75,66,76,83,84,75,78,72,83,70,78,64,66,71,62,72,59,53,71,71,74,74,65,71,76,73,51,59,57,10,10,10,10,10
4007,Leonardo Filipe Cruz Lelo,Gold Non-rare,N/A,269420,75,16,-1,-1,-1,67108872,0,0,0,28,9,0,0,0,2,3,83,82,76,76,76,90,64,74,67,73,70,74,69,76,70,73,60,45,61,63,72,70,56,63,70,69,40,66,48,10,10,10,10,10
4008,Alberto Moreno Pérez,Gold Non-rare,N/A,205566,75,7,-1,-1,-1,0,0,0,0,147,0,0,0,0,2,2,74,75,76,83,67,75,54,75,81,68,71,77,69,74,74,74,65,55,61,68,75,66,80,68,73,73,50,73,54,10,10,10,10,10
4009,Téji Savanier,Gold Non-rare,N/A,205686,75,18,-1,-1,-1,4203785,0,0,0,32,22,0,0,0,3,5,65,55,80,87,62,65,67,68,82,75,70,72,78,79,77,78,70,78,47,77,80,67,74,77,66,60,67,81,82,10,10,10,10,10
4010,Fuka Nagano,Gold Non-rare,N/A,270892,75,10,-1,-1,-1,5244928,0,0,0,17,0,0,0,0,2,3,78,78,82,76,64,80,59,70,58,78,68,72,76,79,58,79,62,57,45,77,83,73,52,77,75,66,49,55,51,10,10,10,10,10
4011,Jack Hinshelwood,Gold Non-rare,N/A,277283,75,10,-1,-1,-1,8,0,0,0,49,5,9,0,0,2,4,67,66,70,72,84,73,69,75,73,71,75,67,73,75,70,72,68,67,74,76,76,72,65,76,75,74,55,67,65,10,10,10,10,10
4012,Danny da Costa,Gold Non-rare,N/A,202429,75,5,-1,-1,-1,0,0,0,0,48,3,0,0,0,2,3,75,84,65,66,84,75,78,73,79,65,73,70,68,68,65,71,51,49,71,63,64,75,68,63,76,77,54,66,40,10,10,10,10,10
4013,Leander Dendoncker,Gold Non-rare,N/A,212501,75,14,-1,-1,-1,0,0,0,0,20,48,15,0,0,1,4,41,61,42,54,78,75,85,72,74,77,76,75,71,76,73,71,62,68,77,77,81,74,83,77,78,75,68,71,55,10,10,10,10,10
4014,Fabian Reese,Gold Non-rare,N/A,231614,75,25,-1,-1,-1,169873600,0,0,0,43,30,39,0,0,2,3,83,81,72,59,84,90,77,73,74,76,35,75,68,77,75,75,73,53,68,70,71,41,80,70,41,37,66,77,68,10,10,10,10,10
4015,Aron Dønnum,Gold Non-rare,N/A,237936,75,12,-1,-1,-1,1056768,0,0,0,25,29,33,0,0,3,3,84,80,85,82,76,85,72,73,68,71,59,69,72,76,69,77,68,66,53,66,70,55,69,66,47,42,56,71,58,10,10,10,10,10
4016,Gastón Lódico,Gold Non-rare,N/A,242342,75,14,-1,-1,-1,0,0,0,0,18,15,29,0,0,2,3,77,83,84,80,66,82,63,68,59,70,64,68,72,82,72,81,65,69,47,78,79,53,65,78,63,49,56,71,52,10,10,10,10,10
4017,Felix Agu,Gold Rare,N/A,243350,75,7,-1,-1,-1,134217728,0,0,0,9,27,0,0,0,2,3,88,93,85,83,74,78,54,74,73,66,68,70,67,75,64,74,58,34,65,63,67,70,49,63,75,71,52,65,40,10,10,10,10,10
4018,Philipp Sander,Gold Non-rare,N/A,243354,75,10,-1,-1,-1,256,0,0,0,17,18,0,0,0,2,3,72,65,74,74,74,69,66,76,68,75,73,63,75,76,73,74,62,50,68,76,77,72,77,76,75,74,49,62,39,10,10,10,10,10
4019,Martina Tufeković,Gold Non-rare,N/A,264999,75,0,-1,-1,-1,0,34,0,0,45,0,0,0,0,0,2,48,53,52,27,61,16,56,74,25,20,19,14,35,23,11,19,16,21,12,11,13,21,56,11,17,16,11,15,16,75,74,74,76,73
4020,Franziska Kett,Gold Non-rare,N/A,270525,75,16,-1,-1,-1,1048576,0,0,0,28,10,0,0,0,2,4,72,80,79,60,71,59,71,76,64,67,64,78,74,78,68,76,71,59,54,62,76,66,60,62,67,64,59,64,56,10,10,10,10,10
4021,Francis Coquelin,Gold Non-rare,N/A,189271,75,14,-1,-1,-1,262144,0,0,0,19,14,0,0,0,2,4,58,58,63,75,73,61,77,74,83,75,76,73,77,78,69,72,62,53,63,78,81,79,75,78,77,73,60,69,52,10,10,10,10,10
4022,Sebastián Villa,Gold Rare,N/A,233959,75,25,-1,-1,-1,35652740,0,0,0,43,30,40,0,0,3,4,84,93,83,78,80,87,77,71,52,68,26,76,67,78,72,78,79,72,55,60,65,45,82,60,25,26,64,71,73,10,10,10,10,10
4023,Beke Sterner,Gold Non-rare,N/A,265033,75,3,-1,-1,-1,134873088,0,0,0,5,0,0,0,0,1,2,75,72,78,77,76,73,71,74,63,72,75,62,69,73,73,69,57,65,61,73,77,77,64,73,78,68,51,64,64,10,10,10,10,10
4024,Jill Janssens,Gold Non-rare,N/A,268451,75,3,-1,-1,-1,1048576,0,0,0,6,26,0,0,0,2,3,83,85,83,92,66,82,43,73,39,73,68,65,63,73,75,72,74,63,67,60,74,67,74,60,70,68,66,70,61,10,10,10,10,10
4025,Archie Gray,Gold Non-rare,N/A,270208,75,10,-1,-1,-1,0,0,0,0,17,3,11,0,0,1,4,70,72,66,67,75,77,72,75,71,75,74,68,71,74,67,74,59,55,68,74,75,73,62,74,74,73,55,60,57,10,10,10,10,10
4026,Jennifer Echegini,Gold Non-rare,N/A,275916,75,14,-1,-1,-1,1048576,0,0,0,21,43,0,0,0,2,4,73,75,74,73,85,73,74,75,58,68,72,73,73,80,50,79,75,52,77,73,77,46,63,73,69,54,47,43,54,10,10,10,10,10
4027,Mohammed Abu Fani,Gold Non-rare,N/A,275976,75,14,-1,-1,-1,1280,0,0,0,18,0,0,0,0,2,3,68,60,80,83,62,76,70,76,76,78,67,70,81,76,68,76,61,74,58,77,77,64,69,77,70,72,56,77,56,10,10,10,10,10
4028,António José Pinheiro Carvalho,Gold Non-rare,N/A,212729,75,14,-1,-1,-1,4194312,0,0,0,22,33,0,0,0,3,3,77,69,89,91,62,88,46,76,56,75,48,68,77,80,77,77,74,75,56,77,77,57,80,77,55,59,75,78,84,10,10,10,10,10
4029,Ondrej Duda,Gold Non-rare,N/A,222148,75,14,-1,-1,-1,147464,0,0,0,19,15,0,0,0,3,4,67,63,76,76,59,80,54,72,85,78,68,70,75,80,65,79,70,74,52,75,76,65,78,75,67,62,71,77,70,10,10,10,10,10
4030,Djordje Mihailovic,Gold Non-rare,N/A,237496,75,18,-1,-1,-1,1056769,0,0,0,33,22,0,0,0,3,4,74,71,74,75,62,85,61,76,59,73,62,76,77,75,77,73,74,68,59,73,76,67,75,73,58,40,64,73,70,10,10,10,10,10
4031,Haley McCutcheon,Gold Non-rare,N/A,243262,75,14,-1,-1,-1,573440,0,0,0,20,14,0,0,0,2,3,68,64,56,71,71,84,68,76,56,68,73,70,70,81,70,72,65,60,65,68,80,74,68,68,78,68,39,67,47,10,10,10,10,10
4032,Jens-Lys Cajuste,Gold Non-rare,N/A,244472,75,10,-1,-1,-1,134217728,0,0,0,49,18,0,0,0,2,4,64,65,70,70,75,75,76,71,74,75,72,69,75,78,58,74,60,44,66,75,77,74,74,75,72,67,50,64,45,10,10,10,10,10
4033,Andrew da Silva Ventura,Gold Non-rare,N/A,263673,75,0,-1,-1,-1,512,34,0,0,1,0,0,0,0,0,2,48,41,39,35,59,39,53,72,24,34,8,4,66,17,13,12,10,14,11,43,45,10,58,43,9,17,14,16,28,75,73,77,77,73
4034,Juan Luis Sánchez Velasco,Gold Non-rare,N/A,264174,75,3,-1,-1,-1,0,0,0,0,6,33,0,0,0,2,3,72,71,68,64,71,75,60,71,61,69,72,69,71,79,76,76,70,51,64,69,74,72,69,69,72,71,38,62,56,10,10,10,10,10
4035,Jill Baijings,Gold Non-rare,N/A,264876,75,18,-1,-1,-1,1052673,0,0,0,32,22,0,0,0,2,4,64,72,72,78,65,71,64,73,56,67,71,76,78,77,74,79,74,66,55,70,74,59,67,70,68,62,67,70,64,10,10,10,10,10
4036,Givairo Read,Gold Non-rare,N/A,271266,75,3,-1,-1,-1,33558528,0,0,0,5,0,0,0,0,2,3,82,80,78,76,76,78,75,72,74,70,69,55,69,69,76,70,52,37,53,64,72,68,63,64,74,74,27,71,48,10,10,10,10,10
4037,Mauricio Cardillo,Silver Rare,N/A,75214,66,14,-1,-1,-1,0,0,0,0,18,5,23,0,0,1,3,82,83,76,77,72,82,65,64,72,58,57,55,71,68,53,67,48,44,54,68,69,55,61,68,59,55,39,50,45,10,10,10,10,10
4038,Onni Valakari,Silver Non-rare,N/A,245685,66,25,-1,-1,-1,0,0,0,0,43,32,0,0,0,2,2,69,72,56,63,72,76,73,68,57,66,66,69,70,66,60,65,65,60,58,60,75,45,65,60,62,52,44,50,59,10,10,10,10,10
4039,Ben Lhassine Kone,Silver Rare,N/A,253120,66,14,-1,-1,-1,0,0,0,0,19,0,0,0,0,2,3,82,74,82,82,65,75,58,63,61,60,58,64,63,69,58,72,59,50,48,68,70,54,71,68,59,56,58,60,62,10,10,10,10,10
4040,Ante Bajić,Silver Rare,N/A,256545,66,25,-1,-1,-1,0,0,0,0,43,0,0,0,0,1,3,83,85,74,67,75,68,67,63,67,62,55,66,62,65,64,63,67,60,56,61,64,44,64,61,48,46,62,59,62,10,10,10,10,10
4041,Mihailo Stevanović,Silver Non-rare,N/A,258043,66,14,-1,-1,-1,0,0,0,0,20,15,0,0,0,1,3,70,72,70,66,72,72,74,62,66,52,59,64,59,68,55,67,62,41,58,64,74,62,67,64,63,60,40,50,46,10,10,10,10,10
4042,Sebastian Lletget,Silver Non-rare,N/A,201447,66,14,-1,-1,-1,1,0,0,0,22,15,0,0,0,3,5,65,68,71,70,70,74,73,67,60,73,59,64,70,68,67,67,59,54,55,64,70,59,69,64,59,59,59,70,56,10,10,10,10,10
4043,Augustin Delbecque,Bronze Non-rare,N/A,78756,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,23,18,36,38,45,19,53,37,22,35,14,8,31,12,11,7,7,12,10,26,29,9,38,26,10,11,8,12,16,56,59,51,59,62
4044,Manuel Palacios,Silver Rare,N/A,214250,66,27,-1,-1,-1,35651840,0,0,0,39,36,43,0,0,3,3,90,91,80,77,89,82,83,60,34,59,29,67,50,62,62,70,55,41,60,60,63,45,68,60,51,48,37,48,52,10,10,10,10,10
4045,Kristian Mandić,Bronze Non-rare,N/A,79264,57,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,65,66,57,57,58,56,58,55,49,51,58,30,45,56,45,51,21,28,52,49,55,56,38,49,60,57,28,30,33,10,10,10,10,10
4046,Greg Docherty,Silver Rare,N/A,224842,66,10,-1,-1,-1,8192,0,0,0,49,18,0,0,0,2,3,69,67,71,75,76,86,77,66,75,63,62,63,62,63,55,60,55,54,60,60,63,66,76,60,63,60,54,60,53,10,10,10,10,10
4047,Ionuț Pop,Bronze Non-rare,N/A,251777,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,33,21,37,41,40,24,43,52,28,21,12,4,32,14,11,6,9,10,13,24,15,13,42,24,14,13,6,10,18,55,55,56,59,55
4048,Jordi Osei-Tutu,Silver Rare,N/A,233442,66,12,-1,-1,-1,35651584,0,0,0,25,6,27,0,0,2,3,88,90,76,83,69,64,61,58,62,51,60,62,53,67,59,67,57,58,46,59,61,57,62,59,60,60,61,61,42,10,10,10,10,10
4049,Vincent Angelini,Bronze Rare,N/A,268528,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,32,32,23,34,51,27,56,52,20,24,13,4,30,13,14,7,6,13,13,26,20,7,38,26,12,13,6,10,14,53,55,51,60,57
4050,Aaron Morley,Silver Non-rare,N/A,235807,66,14,-1,-1,-1,1032,0,0,0,20,17,0,0,0,1,3,68,68,69,72,71,80,71,64,60,66,65,59,68,65,67,62,53,69,57,69,68,62,70,69,62,61,56,68,63,10,10,10,10,10
4051,Duke Verduin,Bronze Non-rare,N/A,275419,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,32,29,40,37,52,26,57,55,18,35,9,10,30,11,13,15,10,11,13,16,16,8,38,16,15,13,10,15,14,57,56,50,57,57
4052,Keanu Baccus,Silver Rare,N/A,237005,66,14,-1,-1,-1,131072,0,0,0,21,14,0,0,0,2,3,76,77,82,81,70,88,55,62,65,63,65,61,64,66,59,63,53,54,60,66,65,60,65,66,66,62,52,55,49,10,10,10,10,10
4053,Güvenç Usta,Bronze Rare,N/A,277678,57,27,-1,-1,-1,0,0,0,0,38,0,0,0,0,1,3,65,63,69,67,51,40,50,41,28,48,23,52,45,58,56,64,68,48,49,43,45,28,74,43,31,28,48,53,64,10,10,10,10,10
4054,Christian Cappis,Silver Non-rare,N/A,246310,66,14,-1,-1,-1,0,0,0,0,22,147,0,0,0,1,3,75,74,64,67,74,74,73,66,75,64,64,63,64,66,60,65,59,41,55,66,68,57,56,66,63,58,50,54,40,10,10,10,10,10
4055,Zhi Li,Bronze Rare,N/A,70056,57,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,1,3,73,72,58,71,54,69,57,52,45,45,52,54,51,53,49,54,23,33,40,42,51,50,23,42,53,54,26,30,36,10,10,10,10,10
4056,Victor Lobry,Silver Non-rare,N/A,256902,66,14,-1,-1,-1,1,0,0,0,22,33,0,0,0,2,3,76,72,69,69,72,72,65,61,59,64,56,64,69,69,65,68,63,67,57,68,69,48,65,68,59,48,59,69,62,10,10,10,10,10
4057,Leenhan Romero,Bronze Non-rare,N/A,74231,57,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,1,3,67,69,52,83,41,47,45,54,44,50,28,55,53,64,43,66,50,35,37,53,56,38,53,53,25,31,43,41,49,10,10,10,10,10
4058,Mehmet Can Aydın,Silver Non-rare,N/A,261446,66,3,-1,-1,-1,0,0,0,0,5,23,0,0,0,2,3,79,68,79,78,68,72,62,65,78,66,62,64,62,67,64,70,56,52,50,58,66,58,71,58,58,64,56,66,53,10,10,10,10,10
4059,Davide Marfella,Bronze Non-rare,N/A,75137,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,22,26,42,51,50,33,58,51,26,42,16,10,33,15,15,11,10,12,15,21,22,10,43,21,13,12,8,15,18,53,56,57,58,59
4060,Johan Larsson,Silver Non-rare,N/A,198455,66,3,-1,-1,-1,134217728,0,0,0,5,0,0,0,0,2,3,73,54,75,76,74,72,72,65,65,68,66,64,70,63,68,62,58,68,58,66,67,61,70,66,62,61,57,69,58,10,10,10,10,10
4061,Diego Díaz Cacho,Bronze Non-rare,N/A,75632,57,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,2,3,60,64,54,79,33,38,38,48,39,58,38,53,59,58,49,60,54,59,34,52,58,41,59,52,37,35,48,53,53,10,10,10,10,10
4062,CJ Hamilton,Silver Rare,N/A,225734,66,16,-1,-1,-1,2097152,0,0,0,27,23,0,0,0,2,3,90,90,70,62,74,77,63,62,56,56,57,61,61,63,62,64,55,44,54,53,59,55,66,53,57,55,52,54,58,10,10,10,10,10
4063,Dominik Stöger,Bronze Non-rare,N/A,78787,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,1,22,29,31,26,59,30,74,57,32,36,15,9,33,14,16,11,9,14,19,27,31,12,43,27,17,15,8,15,18,53,56,57,59,57
4064,Yeong Jae Lee,Silver Non-rare,N/A,228007,66,14,-1,-1,-1,67109120,0,0,0,20,15,26,0,0,2,4,70,74,89,83,65,79,60,63,66,61,64,66,67,67,61,66,56,72,55,65,67,57,65,65,57,53,53,64,62,10,10,10,10,10
4065,Pachanga Kristensen,Bronze Non-rare,N/A,79558,57,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,63,61,43,55,61,63,59,54,53,49,57,28,28,56,35,55,31,20,56,51,55,55,40,51,58,56,22,24,34,10,10,10,10,10
4066,Tiago Galletto,Silver Non-rare,N/A,255730,66,10,-1,-1,-1,0,0,0,0,14,0,0,0,0,1,4,67,68,74,65,76,65,72,68,66,60,68,65,65,58,67,63,61,52,70,60,66,61,62,60,72,60,53,50,47,10,10,10,10,10
4067,Weihui Rao,Bronze Rare,N/A,224556,57,7,-1,-1,-1,0,0,0,0,9,48,0,0,0,1,3,56,45,60,64,60,57,60,54,59,56,57,49,35,53,54,50,38,57,55,54,57,55,24,54,56,55,21,59,53,10,10,10,10,10
4068,Conor Walsh,Bronze Non-rare,N/A,264764,57,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,23,24,30,33,45,26,53,43,26,24,7,5,51,13,11,14,9,13,12,17,21,7,41,17,14,14,7,11,11,59,56,55,57,57
4069,Walid Ould-Chikh,Silver Non-rare,N/A,269256,66,18,-1,-1,-1,132,0,0,0,34,21,0,0,0,2,4,74,72,75,74,70,67,61,64,68,65,58,62,63,65,59,67,66,59,59,62,67,56,73,62,56,52,58,55,66,10,10,10,10,10
4070,Charles Yaw Appiah,Bronze Non-rare,N/A,73867,57,23,-1,-1,-1,0,0,0,0,35,0,0,0,0,2,3,73,71,77,85,46,54,47,48,39,47,23,52,51,58,53,61,51,37,39,43,54,21,53,43,25,22,42,49,40,10,10,10,10,10
4071,Darko Gyabi,Silver Non-rare,N/A,270209,66,14,-1,-1,-1,16777216,0,0,0,18,14,0,0,0,1,3,72,64,73,67,77,75,72,65,68,65,64,58,64,67,54,69,54,52,63,65,68,65,67,65,65,63,52,57,51,10,10,10,10,10
4072,Amine Saïd,Bronze Non-rare,N/A,74644,57,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,2,3,65,67,65,61,60,58,67,49,33,56,11,52,43,62,41,60,61,38,49,46,53,14,57,46,22,15,46,48,53,10,10,10,10,10
4073,Axel Henriksson,Silver Non-rare,N/A,70114,66,14,-1,-1,-1,67633168,0,0,0,22,33,0,0,0,1,3,67,72,73,61,65,81,75,66,69,63,61,62,60,67,59,63,64,40,46,66,68,49,60,66,63,62,56,57,52,10,10,10,10,10
4074,Sam Hoskins,Silver Non-rare,N/A,203328,66,12,-1,-1,-1,100663488,0,0,0,26,30,42,0,0,2,4,83,81,86,83,71,85,65,66,75,65,51,61,63,62,61,63,64,66,50,54,58,47,61,54,50,41,61,65,68,10,10,10,10,10
4075,Viljar Helland Vevatne,Silver Non-rare,N/A,214650,66,5,-1,-1,-1,67108864,0,0,0,13,5,9,0,0,1,5,74,69,66,71,81,81,80,63,65,68,66,65,45,60,60,58,58,42,63,60,63,62,73,60,64,62,39,58,51,10,10,10,10,10
4076,Raheem Edwards,Silver Non-rare,N/A,234927,66,16,-1,-1,-1,0,0,0,0,28,9,0,0,0,2,3,78,76,78,75,75,75,67,56,70,62,59,59,60,68,62,71,51,39,60,61,64,60,56,61,64,62,49,64,49,10,10,10,10,10
4077,Bryan Silva Teixeira,Silver Non-rare,N/A,247640,66,25,-1,-1,-1,9437312,0,0,0,43,36,39,0,0,3,3,81,81,80,83,77,72,65,68,65,67,41,66,60,65,63,67,63,56,62,57,66,39,67,57,55,53,62,56,67,10,10,10,10,10
4078,Pedro Henrique Rodrigues Bicalho,Silver Non-rare,N/A,271135,66,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,1,3,63,68,68,69,63,76,73,65,68,65,61,63,61,72,56,69,58,51,46,63,70,63,69,63,63,60,52,50,68,10,10,10,10,10
4079,Marcelo Esponda,Silver Non-rare,N/A,271767,66,10,-1,-1,-1,0,0,0,0,15,21,0,0,0,1,3,68,68,64,68,66,67,65,68,64,60,66,65,64,66,61,67,64,62,55,63,67,64,68,63,63,63,59,59,59,10,10,10,10,10
4080,Jonas Therkelsen,Silver Rare,N/A,271993,66,18,-1,-1,-1,33554448,0,0,0,33,22,42,0,0,3,3,81,81,81,72,71,68,63,62,59,61,59,63,62,64,53,66,63,38,53,64,66,60,60,64,59,57,47,54,40,10,10,10,10,10
4081,Rafik Belghali,Silver Rare,N/A,276314,66,3,-1,-1,-1,0,0,0,0,6,13,0,0,0,2,2,79,83,71,62,72,60,62,66,61,64,59,62,61,64,63,67,60,56,56,58,63,58,64,58,65,62,55,60,55,10,10,10,10,10
4082,Chris Cadden,Silver Non-rare,N/A,222109,66,3,-1,-1,-1,4096,0,0,0,6,25,0,0,0,1,3,68,70,68,70,69,84,70,62,68,64,60,61,64,65,67,67,57,51,57,63,65,61,65,63,60,58,56,62,54,10,10,10,10,10
4083,Callum Slattery,Silver Non-rare,N/A,229163,66,14,-1,-1,-1,0,0,0,0,22,16,33,0,0,1,4,69,67,70,59,66,75,73,63,73,62,61,62,64,67,44,66,60,70,49,65,68,60,62,65,63,62,50,63,58,10,10,10,10,10
4084,Leeroy Owusu,Silver Non-rare,N/A,232311,66,3,-1,-1,-1,4096,0,0,0,6,0,0,0,0,2,3,80,79,70,74,70,74,65,62,70,56,59,61,52,65,63,64,52,66,51,58,66,60,68,58,62,60,34,66,38,10,10,10,10,10
4085,Yang Liu,Silver Non-rare,N/A,240207,66,7,-1,-1,-1,268435456,0,0,0,10,0,0,0,0,1,3,80,80,75,60,81,78,72,57,66,60,62,59,58,64,60,64,53,42,64,55,62,61,64,55,62,58,41,47,40,10,10,10,10,10
4086,Agustín González,Silver Non-rare,N/A,253833,66,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,2,2,72,72,69,75,63,73,71,65,64,54,59,67,64,66,59,69,61,56,41,63,66,55,67,63,59,45,59,48,59,10,10,10,10,10
4087,Sondre Auklend,Silver Non-rare,N/A,256598,66,18,-1,-1,-1,1048576,0,0,0,33,22,0,0,0,2,2,76,76,81,81,70,73,60,61,67,65,59,63,65,66,62,66,62,45,55,64,66,55,63,64,59,57,54,62,51,10,10,10,10,10
4088,Brandon Soppy,Silver Non-rare,N/A,258407,66,12,-1,-1,-1,0,0,0,0,23,0,0,0,0,2,3,78,77,73,73,82,53,76,60,63,60,64,65,60,67,68,67,41,32,64,63,67,63,64,63,67,66,48,58,49,10,10,10,10,10
4089,Rafael Sousa Gancho Brito,Silver Non-rare,N/A,270587,66,14,-1,-1,-1,0,0,0,0,20,0,0,0,0,2,3,65,65,63,60,71,65,74,64,67,65,67,55,64,68,64,65,56,48,58,70,70,68,67,70,69,64,57,65,61,10,10,10,10,10
4090,Simón Rivero,Silver Rare,N/A,70291,66,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,2,3,81,77,76,80,63,62,63,58,61,49,47,56,70,72,58,73,58,60,39,68,69,48,62,68,65,57,53,69,47,10,10,10,10,10
4091,Sefer Emini,Silver Rare,N/A,73301,66,14,-1,-1,-1,256,0,0,0,21,0,0,0,0,1,3,69,67,73,79,57,82,65,65,69,69,54,65,57,68,60,66,61,52,42,66,69,57,73,66,63,58,51,55,50,10,10,10,10,10
4092,Daniel Pacheco Lobato,Silver Non-rare,N/A,188554,66,10,-1,-1,-1,1,0,0,0,17,21,0,0,0,2,3,66,67,89,86,57,69,58,64,48,57,60,62,67,71,62,67,63,66,47,71,72,64,64,71,62,59,59,70,63,10,10,10,10,10
4093,Tendayi Darikwa,Silver Non-rare,N/A,200309,66,3,-1,-1,-1,0,0,0,0,46,23,0,0,0,2,4,75,78,72,61,76,76,74,60,80,62,63,60,62,61,62,63,48,43,59,60,62,63,57,60,62,60,39,57,51,10,10,10,10,10
4094,Chris Forrester,Silver Non-rare,N/A,202819,66,14,-1,-1,-1,1050368,0,0,0,20,15,0,0,0,2,4,64,62,78,69,65,84,63,63,73,70,61,64,68,67,61,68,60,58,56,65,67,63,65,65,59,56,62,65,64,10,10,10,10,10
4095,Paul Smyth,Silver Rare,N/A,241075,68,12,-1,-1,-1,2097152,0,0,0,23,37,0,0,0,2,2,91,91,91,89,68,70,48,61,47,60,32,59,63,64,64,72,60,54,56,52,62,35,61,52,44,39,56,54,58,10,10,10,10,10
4096,Viktor Popov,Silver Non-rare,N/A,255008,68,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,2,73,74,73,61,73,81,67,57,69,52,63,52,62,65,61,54,42,47,60,50,64,64,49,50,65,64,48,43,52,10,10,10,10,10
4097,Alejandro Suárez Cardero,Silver Non-rare,N/A,261993,68,18,-1,-1,-1,0,0,0,0,31,0,0,0,0,2,4,74,71,82,76,53,61,42,61,44,65,57,66,67,70,61,70,66,67,52,63,68,48,65,63,56,51,60,67,58,10,10,10,10,10
4098,Oussama El Azzouzi,Silver Non-rare,N/A,269745,68,10,-1,-1,-1,0,0,0,0,14,19,0,0,0,1,3,55,55,61,56,67,56,64,65,71,58,68,63,64,69,55,66,58,45,67,70,74,61,70,70,66,62,58,48,53,10,10,10,10,10
4099,Miriam Rodriguez González,Silver Non-rare,N/A,272179,68,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,2,3,62,62,60,70,68,59,60,69,66,66,69,71,71,69,55,68,51,45,69,67,68,55,60,67,63,55,59,62,60,10,10,10,10,10
