playerid,firstname,surname,playerjerseyname,commonname,overallrating,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,firstnameid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,role3,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode,lastnameid,playerjerseynameid,commonnameid,role4
78655,,,,,61,0,0,0,41,60201,0,1,287,26,1,55,0,0,0,63,0,101,0,23,-1,33,52,0,0,0,59,7,0,15,31,26,68,8,0,58,54,223101,47,2026,60,59,21,0,-1,0,21,58,74,0,189,3,0,-1,70,123,152926,25,0,0,59,63,61,0,0,80,0,2,0,0,49,0,78655,9,23,1,-1,57,37,1,0,0,0,0,46,57,43,62,0,-1,0,0,13,1,0,1,0,0,161517,1,0,21,1,0,2,68,3,0,62,17018,0,12,0,1,0,60,1,0,0,503,3,0,0,0,2,0,0,0,30,0,5,0,66,15,0,-1,57,0,0,1,36766,36766,0,0
78657,,,,,64,0,0,0,44,2320201,0,0,36,39,1,58,0,0,0,64,0,236,0,12,-1,46,62,0,0,0,61,13,0,13,31,48,64,13,0,63,61,223101,49,2028,66,64,14,0,-1,0,507,61,66,0,191,3,0,-1,81,385,149961,25,0,0,60,63,64,0,1,80,0,2,0,0,47,0,78657,13,18,1,-1,55,58,1,0,0,0,0,31,55,50,62,0,-1,0,0,10,9,0,1,0,9,161333,1,0,21,1,0,3,74,4,0,52,24969,0,10,0,1,0,64,7,0,0,501,3,0,0,0,5,0,23,0,30,0,5,0,61,13,0,-1,61,0,0,0,8925,8925,0,0
78658,,,,,65,0,0,0,31,60201,0,0,62,59,1,70,0,0,0,69,0,1061,0,41,14,60,55,0,0,0,58,8,0,37,31,60,70,13,0,52,58,223101,66,2027,56,68,41,0,-1,0,1508,67,70,0,182,3,0,16,77,103,152599,18,0,0,69,71,58,0,1,81,0,2,0,0,65,0,78658,11,39,1,-1,66,58,2,0,0,0,0,58,69,63,54,0,-1,0,0,14,9,0,1,0,0,160989,1,0,18,1,0,4,71,2,0,70,38416,0,12,0,3,0,57,3,0,0,503,3,0,0,0,3,0,0,0,30,0,2,0,70,33,0,-1,50,0,0,0,5192,5192,0,0
78659,,,,,62,0,0,0,41,60201,0,0,289,49,1,57,0,0,0,65,0,46,0,21,-1,39,64,0,0,0,59,15,0,18,31,35,62,13,0,55,57,220101,51,2026,63,60,19,0,-1,0,1012,58,70,0,187,3,0,-1,73,378,151189,25,0,0,56,61,65,0,0,79,0,2,0,0,58,0,78659,9,24,1,-1,56,39,1,0,0,0,0,29,69,47,63,0,-1,0,0,9,9,0,1,0,8,160983,1,0,136,2,0,3,75,2,0,59,6988,0,7,0,1,0,63,8,0,0,501,3,0,0,0,7,0,0,0,30,0,5,0,70,19,0,-1,59,0,0,0,36732,36732,0,0
78660,,,,,61,0,0,0,27,70101,0,0,36,52,1,69,0,0,0,58,0,1061,0,27,-1,61,49,0,0,0,46,8,0,24,31,64,61,14,0,41,49,223101,57,2027,53,61,29,0,-1,1,527,60,69,0,172,3,0,27,53,379,151359,16,0,0,59,53,59,0,0,60,0,2,0,0,68,0,78660,12,28,1,-1,62,44,2,0,0,0,0,33,69,60,47,0,-1,0,1,7,9,0,1,0,16,161517,1,0,18,2,0,3,53,3,0,70,39932,0,12,0,1,0,53,4,0,0,501,3,0,0,0,4,0,0,0,30,0,2,0,69,26,0,-1,48,0,0,0,11657,11657,0,0
78661,,,,,62,0,0,0,41,60201,0,0,35,54,1,59,0,0,0,62,0,1082,0,32,-1,53,55,0,0,0,56,13,0,29,31,59,65,10,0,53,57,220101,59,2026,60,66,30,0,-1,1,1015,64,79,0,181,3,0,12,71,69,152363,25,0,0,64,64,64,0,1,75,0,2,0,0,67,0,78661,14,32,1,-1,61,45,2,0,0,0,0,49,73,58,51,0,-1,0,0,7,9,0,1,0,16,161335,1,0,107,1,0,3,70,4,0,61,5365,0,13,0,2,0,59,6,0,0,501,3,0,0,0,6,0,0,0,30,0,2,0,76,28,0,-1,51,0,0,0,4945,4945,0,0
78662,,,,,62,0,0,0,23,60201,0,0,39,40,1,59,0,0,0,61,0,1087,0,31,23,58,47,0,0,0,55,8,0,28,31,56,63,14,0,42,58,220101,57,2026,60,64,29,0,-1,1,1024,62,75,0,182,3,0,16,64,378,152091,12,0,0,63,57,62,0,1,73,0,2,0,0,61,0,78662,12,29,1,-1,61,38,2,0,0,0,0,29,77,57,52,0,-1,0,1,6,9,0,1,0,16,161393,1,0,133,1,0,3,69,4,0,62,17610,0,10,0,2,0,59,8,0,0,501,3,0,0,0,8,0,0,0,30,0,2,0,76,19,0,-1,55,0,0,0,11216,11216,0,0
78665,,,,,56,0,0,0,41,60201,0,5,0,32,1,58,0,0,0,54,0,630,0,16,-1,49,51,0,0,0,49,15,0,10,31,40,74,12,0,56,47,223101,48,2028,55,52,18,0,-1,0,2022,54,74,0,182,3,0,-1,54,323,154759,25,0,0,54,54,52,0,0,70,0,2,0,0,65,0,78665,14,18,1,-1,53,36,1,0,0,0,0,55,75,47,54,0,-1,0,0,13,1,0,1,0,0,161654,1,0,46,1,0,3,61,3,0,53,23296,0,8,0,1,0,53,2,0,0,502,3,0,0,0,2,2,0,0,30,0,2,0,74,14,0,-1,49,0,0,5,29394,29394,0,0
78667,,,,,61,0,0,23,27,2150301,0,21,0,50,1,74,0,0,0,66,0,1080,0,25,27,56,59,0,0,0,65,10,0,26,31,55,69,10,0,44,45,223101,53,2025,64,56,20,0,-1,0,1510,58,73,0,180,3,0,12,60,106,153633,16,0,0,60,56,58,0,2,73,0,2,0,0,65,0,78667,8,27,1,-1,62,49,2,0,0,0,0,35,77,57,56,0,-1,0,1,9,9,0,1,0,7,161566,1,0,53,1,0,3,71,4,0,62,11387,0,11,0,1,0,62,6,0,0,502,3,0,0,0,6,2,0,0,30,0,2,0,75,22,0,-1,43,0,0,21,37665,37665,0,0
78670,,,,,62,0,0,0,18,60201,0,19,30,57,1,61,0,0,0,51,0,186,0,60,-1,64,54,0,0,0,47,6,0,62,31,55,62,11,0,59,62,232001,54,2028,45,58,57,0,-1,0,1508,62,64,0,182,3,0,10,57,310,151065,14,0,0,67,62,54,0,0,75,0,2,0,0,64,0,78670,8,58,1,-1,69,60,2,0,0,0,0,50,60,61,41,0,-1,0,0,11,9,0,1,0,0,161698,1,0,45,1,0,3,49,3,0,84,31449,0,11,0,1,0,48,2,0,0,503,4,0,0,0,2,2,0,0,30,0,1,0,62,59,0,-1,53,0,0,20,33984,31441,31441,0
78675,,,,,59,0,0,0,42,2150301,0,3,246,44,1,62,0,0,0,58,0,696,0,24,-1,48,58,0,0,0,55,13,0,19,31,44,59,11,0,54,55,223101,48,2028,63,58,20,0,-1,0,12,59,64,0,177,3,0,-1,58,310,151371,25,0,0,60,57,57,0,0,75,0,2,0,0,62,0,78675,5,24,1,-1,56,37,1,0,0,0,0,48,67,49,54,0,-1,0,0,10,3,0,1,0,0,161698,1,0,45,1,0,3,60,2,0,62,15128,0,11,0,1,0,59,2,0,0,503,3,0,0,0,2,2,0,0,30,0,2,0,65,18,0,-1,58,0,0,3,16108,26405,26405,0
78676,,,,,62,0,0,0,18,60201,0,6,0,58,1,64,0,0,0,55,0,1083,0,50,-1,64,48,0,0,0,56,9,0,48,31,60,75,10,0,57,59,223101,66,2029,56,62,45,0,-1,0,1524,63,66,0,178,3,0,18,51,431,154776,14,0,0,65,56,55,0,1,72,0,2,0,0,60,0,78676,10,48,1,-1,67,62,2,0,0,0,0,49,67,64,44,0,-1,0,0,7,5,0,1,0,0,161698,1,0,39,2,0,3,49,3,0,71,8642,0,13,0,1,0,55,1,0,0,503,2,0,0,0,2,2,0,0,30,0,2,0,66,47,0,-1,48,0,0,3,24110,24110,0,0
78677,,,,,67,0,0,0,11,60201,0,5,0,53,1,67,0,0,0,54,0,901,0,72,-1,63,44,0,0,0,50,14,0,68,31,60,78,7,0,61,49,123101,52,2028,52,41,69,0,-1,0,9519,51,72,0,172,3,0,-1,62,369,154410,5,0,0,59,60,54,0,1,65,0,2,0,0,58,1,78677,10,69,1,-1,67,42,1,0,0,0,0,60,66,60,68,0,-1,0,0,13,2,0,1,0,0,160978,1,0,21,1,0,2,70,3,0,52,2273,0,15,0,1,0,51,2,0,0,502,3,0,0,0,2,0,0,0,30,0,2,0,69,66,0,-1,46,0,0,2,5920,5920,0,0
78678,,,,,65,0,0,0,7,2120401,5,15,0,58,1,63,0,0,0,48,0,433,0,65,-1,60,53,0,0,0,46,7,0,64,31,63,71,14,0,56,55,123101,52,2026,48,51,62,0,-1,0,5523,57,74,0,168,3,0,16,55,119,153599,7,0,1,62,57,51,0,0,56,0,2,0,0,68,1,78678,13,63,1,-1,63,49,1,0,0,0,0,54,71,59,56,0,-1,0,2,15,8,0,1,0,0,160967,1,0,21,2,0,2,65,4,0,62,34575,0,9,0,1,0,48,1,0,0,503,3,0,0,0,3,0,0,0,30,0,7,0,73,63,0,-1,45,0,0,19,30101,30101,0,0
78679,,,,,68,0,0,0,11,60201,0,17,0,52,1,64,0,0,0,56,0,435,0,70,-1,65,49,0,0,0,53,7,0,71,31,58,72,8,0,57,55,123101,53,2028,51,50,66,0,-1,0,5518,57,74,0,174,3,0,7,72,250,152740,5,0,0,63,69,54,0,0,64,0,0,0,0,64,1,78679,9,69,1,-1,67,46,1,0,0,0,0,63,71,60,65,0,-1,0,0,12,8,0,1,0,8,160602,1,0,21,2,0,2,77,2,0,66,17170,0,12,0,1,0,52,2,0,0,500,3,0,0,0,3,0,0,0,30,0,1,0,73,70,0,-1,48,0,0,17,10114,10114,0,0
78681,,,,,56,0,0,0,14,60402,0,2,0,50,1,49,0,0,0,47,0,505,0,58,-1,55,55,0,0,0,51,8,0,57,31,42,74,9,0,52,51,123101,48,2026,49,47,56,0,-1,0,5505,51,68,0,172,3,0,14,58,379,154786,10,0,0,56,55,53,0,1,62,0,5,0,0,62,1,78681,6,56,1,-1,56,47,1,0,0,0,0,51,64,51,52,0,-1,0,1,10,4,0,1,0,0,160602,1,0,21,1,0,2,58,3,0,53,24715,0,10,0,1,0,50,2,0,0,503,3,0,0,0,1,0,0,0,30,0,2,0,66,55,0,-1,46,0,0,5,5943,5943,0,0
78682,,,,,69,0,0,0,14,40102,5,1,0,58,1,76,0,0,0,61,0,505,0,72,-1,70,64,0,5,0,64,11,0,71,31,51,79,6,0,62,64,123101,67,2026,65,58,67,0,-1,0,9527,63,63,0,170,3,0,14,57,389,154548,10,0,1,67,61,65,0,1,60,0,2,0,0,67,1,78682,6,68,1,-1,73,62,1,0,0,0,0,58,59,66,53,0,-1,0,1,12,2,0,1,0,0,160237,1,0,21,1,0,3,58,3,0,72,35300,0,11,0,1,0,64,2,0,0,500,3,0,0,0,2,0,0,0,30,0,7,0,61,68,0,-1,49,0,0,3,34984,34984,0,0
78683,,,,,66,0,0,0,35,60401,0,0,0,61,1,73,0,0,0,64,0,928,0,59,12,65,62,0,0,0,63,14,0,61,31,58,78,10,0,59,60,123101,67,2026,65,69,51,0,-1,1,7024,69,70,0,170,3,0,25,61,49,154581,23,0,0,72,58,67,0,1,60,0,2,0,0,64,1,78683,15,56,1,-1,69,59,2,0,0,0,0,55,66,65,43,0,-1,0,0,8,9,0,1,0,16,160968,1,0,21,1,0,3,55,4,0,56,24715,0,13,0,2,0,64,6,0,0,503,3,0,0,0,6,0,0,0,30,0,8,0,68,57,0,-1,57,0,0,0,20324,20324,0,0
78684,,,,,70,0,0,0,31,60401,0,5,0,66,1,69,0,0,0,68,0,612,0,54,-1,69,70,0,0,0,66,12,0,51,31,63,71,11,0,62,64,123101,73,2026,69,72,51,0,-1,0,9506,72,65,0,167,3,0,14,51,361,151689,18,0,0,75,57,67,0,1,55,0,2,0,0,73,1,78684,15,53,1,-1,73,65,3,0,0,0,0,61,63,70,56,0,-1,0,0,11,2,0,1,0,0,160803,1,0,21,1,0,3,58,4,0,67,6365,0,6,0,3,2048,68,2,0,0,503,3,0,0,0,3,0,0,0,30,0,8,0,64,53,0,-1,62,0,0,6,25751,25751,0,0
78685,,,,,72,0,0,0,38,2290501,0,3,0,64,1,77,0,0,0,69,0,749,0,41,-1,63,63,0,3,0,65,9,0,39,31,68,85,6,0,64,58,123101,70,2028,69,75,32,0,-1,0,7020,74,78,0,170,3,0,16,55,41,154905,27,0,0,76,57,64,128,1,58,0,2,0,0,70,1,78685,13,40,1,-1,69,69,3,0,0,0,0,52,77,68,56,0,-1,0,0,11,9,0,1,0,8,161705,1,0,21,2,0,3,68,2,0,63,21814,0,9,0,3,0,66,4,0,0,503,3,0,0,0,3,0,0,0,30,0,8,0,78,36,0,-1,59,0,0,0,3899,3899,0,0
78686,,,,,68,0,0,0,7,40401,0,0,29,42,1,62,0,0,0,49,0,177,0,71,16,59,48,0,0,0,34,10,0,60,31,57,75,10,0,54,59,223101,42,2025,48,62,70,0,-1,0,2505,60,84,0,182,3,0,5,68,168,153264,7,0,0,59,68,54,0,0,79,0,2,0,0,60,0,78686,6,66,1,-1,65,27,1,0,0,0,0,58,80,55,62,0,-1,0,2,15,9,0,1,0,0,161573,1,0,54,1,0,4,77,3,0,75,11702,0,7,0,1,0,45,3,0,0,501,3,0,0,0,3,1,0,0,30,0,2,0,82,64,0,-1,26,0,0,0,40548,11704,11704,0
78687,,,,,69,0,0,15,13,2330501,0,6,0,56,1,74,0,0,0,62,0,435,0,74,-1,71,60,0,0,0,63,11,0,73,31,53,76,15,0,67,64,123101,66,2026,61,66,68,0,-1,1,5526,69,68,0,172,3,0,10,58,42,153673,5,0,1,74,62,59,0,0,62,0,5,0,0,71,1,78687,6,71,1,-1,74,65,1,0,0,0,0,63,62,66,64,0,-1,0,0,6,2,0,1,0,16,159872,1,0,21,1,0,3,65,3,0,69,10744,0,14,0,1,0,60,2,0,0,503,3,0,0,0,2,0,0,0,30,0,1,0,65,70,0,-1,48,0,0,5,15343,15343,0,0
78689,,,,,69,0,0,16,20,2080401,0,6,0,63,1,62,0,0,0,63,0,744,0,69,-1,70,65,0,0,0,65,14,0,68,31,58,78,12,0,63,63,123101,67,2026,66,65,65,0,-1,0,9015,67,69,0,167,3,0,10,64,86,153294,14,0,1,72,64,67,0,1,58,0,5,0,0,71,1,78689,14,67,1,-1,73,62,2,0,0,0,0,57,63,67,56,0,-1,0,0,6,8,0,1,0,0,160988,1,0,21,1,0,3,65,4,0,68,29038,0,15,0,2,0,65,2,0,0,501,3,0,0,0,4,0,0,0,30,0,8,0,66,67,0,-1,56,0,0,6,22840,22840,0,0
78690,,,,,64,0,0,16,20,60101,0,6,0,52,1,71,0,0,0,58,0,536,0,69,-1,64,53,0,0,0,49,15,0,66,31,45,77,11,0,61,56,123101,59,2028,53,62,66,0,-1,0,9014,65,66,0,161,3,0,10,54,125,154306,14,0,0,68,59,50,0,0,55,0,2,0,0,71,1,78690,7,64,1,-1,67,49,1,0,0,0,0,58,65,59,47,0,-1,0,0,9,2,0,1,0,0,161333,1,0,21,1,0,2,53,2,0,70,35787,0,14,0,1,0,51,2,0,0,502,3,0,0,0,2,0,0,0,30,0,8,0,66,62,0,-1,45,0,0,6,5788,5788,0,0
78691,,,,,71,0,0,39,43,2330101,0,6,0,67,1,65,0,0,0,73,0,536,0,41,18,69,66,0,0,0,68,6,0,44,31,73,71,12,0,67,67,123101,71,2026,72,70,36,0,-1,0,9524,71,80,0,174,3,0,27,57,106,151604,25,0,1,74,62,72,536870912,1,67,0,2,0,0,72,1,78691,10,43,1,-1,75,64,2,0,0,0,0,62,77,72,67,0,-1,0,0,11,8,0,1,0,9,158411,1,0,21,1,0,5,73,2,0,69,37902,0,13,0,2,0,71,2,0,0,501,3,0,0,0,2,0,0,0,30,0,2,0,79,38,0,-1,65,0,0,5,33132,33132,0,0
78692,,,,,59,0,0,0,41,60402,0,0,0,58,1,73,0,0,0,59,0,596,0,31,-1,49,56,0,0,0,55,11,0,24,31,51,70,9,0,52,50,123101,48,2028,60,61,23,0,-1,0,7008,62,75,0,169,3,0,-1,52,84,155058,25,0,0,62,50,58,0,1,60,0,2,0,0,64,1,78692,12,28,1,-1,58,52,2,0,0,0,0,58,74,53,56,0,-1,0,0,12,9,0,1,0,0,161028,1,0,18,1,0,5,63,3,0,36,1699,0,10,0,2,0,58,3,0,0,501,3,0,0,0,3,0,0,0,30,0,7,0,75,21,0,-1,54,0,0,0,33983,33983,0,0
78694,,,,,63,0,0,0,41,60402,1,6,0,60,1,58,0,0,0,63,0,583,0,29,-1,48,57,0,0,0,61,7,0,28,31,45,82,14,0,60,46,123101,52,2026,66,68,22,0,-1,0,5521,64,73,0,173,3,0,-1,56,29,155400,25,0,0,64,50,62,0,0,61,0,5,0,0,55,1,78694,11,30,1,-1,58,48,2,0,0,0,0,43,74,52,59,0,-1,0,0,11,3,0,1,0,0,161333,1,0,21,2,0,3,67,4,0,40,22125,0,7,0,3,0,63,2,0,0,503,3,0,0,0,3,0,0,0,30,0,1,0,73,25,0,-1,57,0,0,5,38996,38996,0,0
78695,,,,,62,0,0,0,11,60201,0,3,0,40,1,54,0,0,0,31,0,67,0,63,-1,63,39,0,0,0,33,14,0,61,31,35,70,9,0,59,52,224001,33,2029,36,48,62,0,-1,0,37,53,65,0,188,3,0,-1,69,124,154232,5,0,0,59,63,44,0,2,82,0,2,0,0,52,0,78695,13,62,1,-1,62,22,1,0,0,0,0,41,66,48,64,0,-1,0,0,13,9,0,1,0,0,160977,1,0,39,1,0,2,71,2,0,65,23733,0,6,0,1,0,36,2,0,0,503,2,0,0,0,2,0,0,0,30,0,4,0,65,62,0,-1,26,0,0,0,36961,36961,0,0
78696,,,,,59,0,0,33,29,60201,0,20,0,55,1,63,0,0,0,51,0,1285,0,29,27,57,53,0,0,0,42,7,0,28,31,55,69,8,0,50,51,223101,58,2027,53,60,25,0,-1,0,1512,59,69,0,180,3,0,18,51,124,154252,16,0,0,59,50,52,0,2,72,0,2,0,0,62,0,78696,11,29,1,-1,58,48,2,0,0,0,0,45,68,57,38,0,-1,0,1,12,1,0,1,0,0,161333,1,0,39,1,0,2,46,2,0,52,28973,0,10,0,1,0,50,2,0,40,503,2,0,0,0,3,0,0,0,30,0,1,0,69,27,0,-1,42,0,0,19,9941,9941,0,0
78699,,,,,62,0,0,0,3,2150301,0,0,287,34,1,59,0,0,0,41,0,1281,0,62,12,64,39,0,0,0,20,13,0,60,31,51,62,9,0,55,60,224001,42,2028,22,52,61,0,-1,0,1,55,66,0,182,3,0,5,66,431,151152,3,0,0,56,63,20,0,0,78,0,2,0,0,60,0,78699,6,61,1,-1,63,26,1,0,0,0,0,47,65,53,61,0,-1,0,2,11,9,0,1,0,0,161333,1,0,39,1,0,2,69,4,0,67,30865,0,10,0,1,0,23,3,0,0,501,4,0,0,0,5,2,0,0,30,0,2,0,66,61,0,-1,28,0,0,0,28682,28687,0,0
78700,,,,,61,19,0,0,1,60201,0,6,39,18,1,37,0,0,0,9,0,67,0,13,-1,31,16,0,0,0,7,63,0,11,31,15,71,65,0,48,38,223101,40,2028,6,10,12,0,-1,0,0,65,37,0,188,3,0,-1,58,378,154776,0,0,0,19,61,47,0,0,79,0,2,0,0,39,0,78700,62,38,1,-1,32,14,0,0,0,0,0,29,38,62,15,0,-1,0,1,59,9,0,1,0,0,161333,1,0,39,1,0,2,55,4,0,22,26261,0,61,0,0,0,59,2,0,0,501,3,0,0,0,2,2,0,0,30,0,5,0,63,9,0,-1,10,0,0,5,34126,34126,0,0
78701,,,,,61,0,0,0,11,60201,0,5,243,24,1,47,0,0,0,30,0,698,0,60,-1,61,38,0,0,0,19,10,0,59,31,29,61,11,0,52,59,232201,35,2028,20,33,58,0,-1,0,2,43,56,0,185,3,0,-1,72,431,149607,5,0,0,52,70,35,0,0,81,0,2,0,0,50,0,78701,10,60,1,-1,64,25,1,0,0,0,0,72,54,47,60,0,-1,0,0,13,9,0,1,0,0,160602,1,0,23,1,0,2,68,2,0,65,10081,0,9,0,1,0,24,2,0,0,500,4,0,0,0,2,2,0,0,30,0,5,0,55,61,0,-1,24,0,0,2,19226,19226,0,0
78702,,,,,59,0,0,0,23,60201,0,19,251,37,1,63,0,0,0,51,0,243,0,43,23,58,41,0,0,0,48,13,0,35,31,58,59,7,0,59,52,232001,60,2028,46,58,40,0,-1,0,0,59,63,0,173,3,0,16,48,105,151494,12,0,0,57,51,53,0,0,68,0,2,0,0,78,0,78702,7,40,1,-1,57,39,2,0,0,0,0,48,64,56,47,0,-1,0,1,5,5,0,1,0,0,161040,1,0,39,1,0,3,48,2,0,60,11004,0,11,0,1,0,47,1,0,0,502,2,0,0,0,1,2,0,0,30,0,2,0,63,39,0,-1,34,0,0,3,4801,4801,0,0
78703,,,,,60,0,0,0,14,2150301,0,5,253,31,1,58,0,0,0,42,0,284,0,58,14,59,36,0,0,0,46,6,0,57,31,40,60,8,0,57,57,232001,50,2028,44,52,53,0,-1,0,44,56,58,0,183,3,0,5,66,72,150604,10,0,0,59,63,57,0,0,75,0,2,0,0,62,0,78703,11,57,1,-1,62,34,1,0,0,0,0,59,56,52,56,0,-1,0,1,15,1,0,1,0,0,158045,1,0,39,1,0,2,63,3,0,61,2957,0,10,0,1,0,46,1,0,0,501,4,0,0,0,2,2,0,0,30,0,2,0,57,58,0,-1,32,0,0,3,7987,7987,0,0
78704,,,,,63,0,0,33,23,60201,0,21,16,58,1,68,0,0,0,59,0,186,0,34,23,61,48,0,0,0,58,5,0,30,31,61,64,6,0,62,58,223101,63,2028,54,63,33,0,-1,0,5,63,65,0,176,3,0,18,55,85,152160,12,0,0,62,56,64,0,0,71,0,2,0,0,73,0,78704,7,33,1,-1,60,59,3,0,0,0,0,58,68,61,39,0,-1,0,1,15,9,0,1,0,8,161204,1,0,54,2,0,3,51,4,0,59,2035,0,11,0,2,0,56,4,0,35,501,4,0,0,0,2,2,0,0,30,0,2,0,66,31,0,-1,44,0,0,21,40581,2036,2036,0
78705,,,,,60,0,0,0,31,60201,0,0,16,47,1,63,0,0,0,58,0,189,0,38,-1,58,49,0,0,0,56,15,0,35,31,40,68,11,0,59,54,223101,61,2027,54,58,32,0,-1,0,2,59,65,0,182,3,0,14,56,124,153993,18,0,0,60,58,65,0,0,75,0,2,0,0,60,0,78705,13,35,1,-1,61,48,2,0,0,0,0,58,66,55,39,0,-1,0,0,10,9,0,1,0,0,160967,1,0,39,1,0,3,50,4,0,63,10998,0,8,0,1,0,56,1,0,0,503,2,0,0,0,1,2,0,0,30,0,2,0,65,33,0,-1,42,0,0,0,3452,3454,0,0
78706,,,,,59,0,0,0,18,60201,0,6,0,45,1,66,0,0,0,54,0,1065,0,55,-1,60,46,0,0,0,45,14,0,55,31,43,70,11,0,59,53,223101,60,2028,44,56,49,0,-1,0,0,59,67,0,179,3,0,18,54,72,154973,14,0,0,60,53,47,0,2,72,0,2,0,0,67,0,78706,11,52,1,-1,62,38,1,0,0,0,0,36,68,55,43,0,-1,0,0,5,9,0,1,0,0,161333,1,0,39,1,0,3,49,2,0,66,10335,0,8,0,1,0,45,2,0,0,501,2,0,0,0,2,2,0,0,30,0,1,0,67,52,0,-1,34,0,0,19,5918,5918,0,0
78707,,,,,60,0,0,0,3,2150301,0,23,45,44,1,59,0,0,0,47,0,243,0,58,7,53,39,0,0,0,34,7,0,57,31,59,60,9,0,55,52,232001,54,2028,32,52,57,0,-1,0,3516,55,62,0,180,3,0,10,68,70,149682,3,0,0,57,62,42,0,0,77,0,2,0,0,60,0,78707,15,58,1,-1,55,35,1,0,0,0,0,54,61,54,53,0,-1,0,2,5,6,0,1,0,0,160967,1,0,39,1,0,3,62,2,0,57,18408,0,5,0,1,0,35,3,0,0,501,4,0,0,0,3,2,0,0,30,0,2,0,62,59,0,12,29,0,0,22,26459,26459,0,0
78710,,,,,54,16,0,0,1,60201,0,4,0,16,1,24,0,0,0,7,0,1067,0,12,-1,26,10,0,0,0,8,55,0,8,31,14,61,56,0,39,29,223101,36,2028,7,9,12,0,-1,0,2004,56,25,0,188,3,0,-1,58,106,153668,0,0,0,18,55,44,0,0,78,0,2,0,0,33,0,78710,59,24,1,-1,27,14,0,0,0,0,0,21,23,59,11,0,-1,0,1,54,2,0,1,0,0,160602,1,0,39,2,0,2,48,4,0,28,23771,0,55,0,0,0,54,2,0,0,502,2,0,0,0,2,2,0,0,30,0,4,0,55,8,0,-1,9,0,0,1,18974,18974,0,0
78711,,,,,53,0,0,0,18,60201,0,20,0,42,1,63,0,0,0,50,0,1072,0,50,-1,53,45,0,0,0,39,14,0,50,31,39,69,5,0,49,47,223101,55,2028,38,52,45,0,-1,0,2022,55,65,0,179,3,0,-1,56,382,155491,14,0,0,56,55,44,0,0,75,0,2,0,0,67,0,78711,14,49,1,-1,55,39,1,0,0,0,0,50,66,50,46,0,-1,0,0,13,3,0,1,0,0,161572,1,0,39,1,0,2,54,4,0,58,30709,0,11,0,1,0,40,1,0,0,501,2,0,0,0,1,2,0,0,30,0,2,0,65,48,0,-1,36,0,0,20,10918,10918,0,0
78714,,,,,58,0,0,0,41,60201,0,3,36,43,1,52,0,0,0,60,0,299,0,19,-1,38,62,0,0,0,48,11,0,23,31,35,65,12,0,56,49,220101,50,2025,66,42,18,0,-1,0,1050,50,55,0,189,0,0,-1,66,125,152950,25,0,0,59,59,65,0,0,79,0,2,0,0,51,0,78714,12,25,1,-1,43,37,1,0,0,0,0,40,53,42,58,0,-1,0,0,7,9,0,1,0,0,161644,1,0,79,1,0,2,62,3,0,58,28315,0,9,0,1,0,61,5,0,0,502,3,0,0,0,5,0,0,0,30,0,5,0,54,24,0,-1,43,0,0,3,8779,8779,0,0
78720,,,,,63,0,0,0,27,10101,0,0,0,60,1,58,0,0,0,64,0,160,0,28,27,61,57,0,0,0,60,14,0,38,31,63,72,10,0,56,54,223101,54,2026,67,60,26,0,-1,0,49,61,62,0,188,0,0,12,66,102,153540,16,0,0,66,63,66,0,1,78,0,0,0,0,55,0,78720,13,33,1,-1,65,50,2,0,0,0,0,53,62,61,60,0,-1,0,1,7,5,0,1,0,0,161720,1,0,45,1,0,4,68,4,0,65,16159,0,12,0,2,0,64,1,0,0,501,2,0,0,0,1,0,0,0,30,0,4,0,62,28,0,-1,60,0,0,0,37623,37620,16171,0
